epoch,crf_viterbi_accuracy,loss,val_crf_viterbi_accuracy,val_loss
0,0.887294698029359,55.03013886394363,0.9335670001150027,20.589274567266543
1,0.9406948854458463,54.77009458428045,0.9404865702937165,20.551491408903072
2,0.9499176296143295,54.73369844607606,0.947474481232659,20.530350904849815
3,0.9562840580521773,54.712274548088445,0.9491386528252989,20.51860329544176
4,0.9607187557800743,54.695756270258876,0.953964281110469,20.505559626780894
5,0.9661210569458266,54.68164890431253,0.951191085817695,20.501230638553864
6,0.968244286309409,54.67426225951034,0.9565665067799584,20.49855348673116
7,0.9712416498437297,54.66590455133575,0.959942916934677,20.491787591059815
8,0.9738200863211712,54.6596326308872,0.9569548813011187,20.498253974099057
9,0.9756165248265792,54.654602029176836,0.9592310684310569,20.492975769586632
10,0.9774419005263641,54.6501377936858,0.9611972057904313,20.489401411840298
11,0.9790781076579916,54.64680755136723,0.9610648721527317,20.488210138968785
12,0.9809502485762037,54.6431116444708,0.9584484410399212,20.49648526388789
13,0.9815834245803399,54.640667355727345,0.9612854552099087,20.489212407635396
14,0.9834199077877149,54.637971181264675,0.9619476360549836,20.487858149331426
15,0.9832705467667369,54.636821958049524,0.9637802311190516,20.482900764483453
16,0.98416863838627,54.63521963843076,0.9630511396004865,20.4803068337701
17,0.9854921629717331,54.632713302694434,0.9668556162976879,20.47959525228396
18,0.9859459530099226,54.632254584321586,0.9602202185542453,20.488558490599136
19,0.9857778749866561,54.631822379567765,0.9654689370311638,20.477363962458885
20,0.9872267202725044,54.62930834480284,0.9643354163883417,20.48341563535133
21,0.9874267799079265,54.62866956718404,0.96277838364916,20.488670883722374
22,0.988010115704937,54.62817439323227,0.9592156735848361,20.492758893626885
23,0.9880488706087023,54.6270964262052,0.960193749419867,20.491662843210396
24,0.9886513846695577,54.62626951053833,0.9657155775117761,20.47887445572153
